question,gold_answer,pred_answer,score,error_type,error_label,reason,cite_pages
要是Wall Connector接地故障漏电保护器持续跳闸，除了找电工来，还有别的法子吗？,还可以联系Tesla。,无答案,0.0,retrieval_error,检索未召回,模型输出无答案，可能未检索到相关证据,[]
要是不按方向盘上的雨刮器按钮，还能够从哪进入雨刮器设置啊？,点击控制>雨刮器也可访问雨刮器设置。,无答案,0.0,retrieval_error,检索未召回,模型输出无答案，可能未检索到相关证据,[]
智能泊车的时候，天气状况影响能见度进而取消了智能泊车，驾驶员往后该怎么做才好呢？,驾驶员应驻车或手动完成停车，完成停车后，踩下制动踏板并换入驻车挡。否则，车辆将保持自由移动状态。智能泊车下次行驶时应该可再次使用。,无答案,0.0,retrieval_error,检索未召回,模型输出无答案，可能未检索到相关证据,[]
各轮胎的胎压要达到多少，胎压检测系统才会解除极低胎压警报呢？,胎压检测系统检测到各轮胎的胎压测量值一致（至少为30 psi）后，极低胎压警报应该会解除。,无答案,0.0,retrieval_error,检索未召回,模型输出无答案，可能未检索到相关证据,[]
要是CC_a011不能充电而且Wall Connector过热，环境温度没问题可问题还在的话，该做点啥呢？,如果环境温度正常（低于38°C）的情况下，问题仍存在，则需要检修。,如果环境温度正常（低于38°C）的情况下，问题仍存在，则需要检修。,0.0,citation_error,引用错误,答案正确但无引用页码 (语义相似度: 292.981),[]
2023年9月及之后生产的车辆，驻车辅助功能受限或未激活怎么办？,可等待未来软件更新来启用。,无答案,0.0,retrieval_error,检索未召回,模型输出无答案，可能未检索到相关证据,[]
Model 3播放来自USB闪存盘的媒体，该注意些什么啊？,将闪存盘插入前部USB接口，点击媒体播放器>USB，然后点击所需文件夹的名称。Model 3只识别闪存盘进行多媒体播放，媒体播放器支持exFAT格式的USB闪存盘（目前不支持NTFS格式）；使用位于中控台前部的USB接口，控制台后侧的USB接口仅用于充电；对于2021年11月1日左右之后生产的部分车辆，中控台USB接口仅支持充电设备，请使用手套箱中的USB接口来完成所有其他功能。,Model 3播放来自USB闪存盘的媒体时，需要注意以下几点：1. Model 3只识别闪存盘，要播放来自其他类型设备（例如iPod）的媒体，您必须通过蓝牙连接设备；2. 媒体播放器支持exFAT格式的USB闪存盘（目前不支持NTFS格式）；3. 使用位于中控台前部的USB接口，控制台后侧的USB接口仅用于充电；4. 对于2021年11月1日左右之后生产的部分车辆，中控台USB接口仅支持充电设备，请使用手套箱中的USB接口来完成所有其他功能。,0.0,citation_error,引用错误,答案正确但无引用页码 (语义相似度: 226.856),[]
要是充电设备通讯出问题了，在充电接口输入端和移动连接器手柄检查不到阻塞物时，还能怎么解决呢？,可以尝试在Tesla超级充电站或目的地充电地点为车辆充电；或者查看产品用户手册获取排除移动连接器故障或解决充电问题的更多信息；,无答案,0.0,retrieval_error,检索未召回,模型输出无答案，可能未检索到相关证据,[]
假如壁挂式连接过热引起充电速率下降，那么往往是哪个部件出故障了呢？,出问题的并非车辆或Wall Connector，而是建筑物接线。可能是建筑物与Wall Connector之间的接线松动所致。,无答案,0.0,retrieval_error,检索未召回,模型输出无答案，可能未检索到相关证据,[]
个性喇叭的USB设备要如何预备？,1. 在电脑上将USB设备格式化为exFAT、MS - DOS FAT（对于Mac）、ext3或ext4（目前不支持NTFS）；2. 在USB设备上创建一个名为Boombox的文件夹（USB设备只能包含一个文件夹）；3. 将.wav和.mp3音频文件添加到此文件夹中（可添加任意数量但只能按字母顺序从前五个文件中选择，文件名可包含特定字符）；4. 将USB设备插入前部USB接口中（2021年11月1日之后生产的部分车辆，若中控台USB接口只能充电则需使用手套箱中的USB接口）；5. 通过从个性喇叭下拉菜单中选择来从USB设备中选择声音。,"为个性喇叭准备USB设备的步骤如下：
1. 在电脑上将USB设备格式化为exFAT、MS - DOS FAT（对于Mac）、ext3或ext4（目前不支持NTFS）。
2. 在USB设备上创建一个名为Boombox的文件夹。
注：USB设备只能包含一个文件夹。例如，不能与行车记录仪共享使用。
3. 将.wav和.mp3音频文件添加到此文件夹中。尽管您可以在USB设备容量允许的情况下添加任意数量的文件，但您只能按字母顺序从前五个文件中进行选择。任何长度的文件名都可以包含大写或小写字母字符 (a - z/A - Z)、数字0 - 9、句点(.)、破折号(-)和下划线(_)。
4. 将USB设备插入前部USB接口中。
注：对于大约2021年11月1日之后生产的部分车辆，中控台USB接口只能用于给设备充电。在这些车辆上，您必须使用手套箱中的USB接口。

",0.0,citation_error,引用错误,答案正确但无引用页码 (语义相似度: 242.597),[]
假如壁式插头适配器与控制箱连接部位过热警报响了，能够直接重新接上电源吗？,不能，应先按照相关措施检查处理后再重新连接电源，如确保连接完全、无物体盖住、无热源、检查并清除阻塞物或湿气等。,无答案,0.0,retrieval_error,检索未召回,模型输出无答案，可能未检索到相关证据,[]
在不使用触摸屏的情况下，如何设置让HomeLink设备自动开启或关闭？,1. 点击控制屏幕顶部的HomeLink图标，点击HomeLink设置，然后选择要自动运行的设备；2. 根据需要调整该设备的HomeLink设置：如果想让设备在靠近时打开，选中到达时自动打开复选框；点击箭头，指定Model 3触发设备开启的距离；如果想让设备在驶离时关闭，选中离开时自动关闭复选框；如果希望后视镜在到达HomeLink位置时折叠，选中自动折叠后视镜复选框；如果希望Model 3在发出打开或关闭设备的信号时发出蜂鸣声，选中自动打开和自动关闭的蜂鸣复选框。,无答案,0.0,retrieval_error,检索未召回,模型输出无答案，可能未检索到相关证据,[]
要是结合两种警报状况的话，处理充电问题通用的解决办法有什么呢？,共通的解决办法有尝试在Tesla超级充电站或目的地充电地点为车辆充电、查看产品用户手册获取更多信息。,无答案,0.0,retrieval_error,检索未召回,模型输出无答案，可能未检索到相关证据,[]
Model 3车辆处在唤醒状态是有哪些情况啊？,在使用召唤功能时，或者启用保持温度控制、爱犬模式、露营模式或哨兵模式等功能后；在低压电池充电或使用期间、高压充电期间或车辆与手机应用程序通信等活动期间，车辆会处于唤醒状态。,无答案,0.0,retrieval_error,检索未召回,模型输出无答案，可能未检索到相关证据,[]
当车辆欠缺某些部件或者程序时，如何判定自己车辆有哪些程序能够使用？,导航至https://www.tesla.com/support/do - it - yourself - guides（或https://www.tesla.cn/support/do - it - yourself - guides），选择您的车辆、所在区域和/或语言，以查看所在区域可用的最新部件和配件列表。,无答案,0.0,retrieval_error,检索未召回,模型输出无答案，可能未检索到相关证据,[]
